ID_progressive number,case/control,GRA ring residence_inside/outside_,ENCI breed,necropsy/biopsy,sex,reproductive status,size,age (years),weight (Kg),Nutrition habit,Living environment,habitat
1,control,inside,Barbone,biopsy,F,spayed,small,9,nd,dry food,indoor,urban
2,control,inside,Shih Tzu,biopsy,M,intact male,small,12,nd,dry food,indoor,urban
3,control,inside,Setter Inglese,biopsy,F,intact female,medium,7,18,homemade food,indoor,urban
4,control,outside,Cane Da Pastore Tedesco,biopsy,F,intact female,medium,3,nd,dry food,indoor,urban
5,control,outside,Cane Da Pastore Tedesco,necropsy,M,intact male,medium,9,nd,nd,shelter,rural
6,control,inside,Shih Tzu,biopsy,M,intact male,small,7,nd,canned food,indoor,urban
7,case,inside,Cane Da Pastore Maremmano Abruzzese,necropsy,M,intact male,large,8,nd,nd,indoor,urban
8,control,outside,Cane Da Pastore Tedesco,necropsy,M,intact male,medium,10,nd,nd,outdoor,urban
9,control,inside,Labrador Retriever,biopsy,F,intact female,medium,5,40,homemade food,outdoor,urban
10,control,outside,mixed breed,biopsy,F,spayed,small,8,5,dry food,outdoor,rural
11,case,outside,Cane Da Pastore Tedesco,necropsy,M,nd,medium,9,54,nd,indoor,urban
12,control,inside,Pitbull,biopsy,F,spayed,medium,8,30,dry food,outdoor,urban
13,control,inside,mixed breed,biopsy,F,spayed,small,8,nd,dry food,indoor,urban
14,control,outside,Yorkshire Terrier,biopsy,F,spayed,small,8,2.6,canned food,indoor,urban
15,control,outside,mixed breed,biopsy,M,neutered,small,9,17,canned food,outdoor,urban
16,case,inside,Cane Da Pastore Tedesco,necropsy,M,neutered,medium,8,nd,nd,indoor,urban
17,control,outside,Yorkshire Terrier,biopsy,F,intact female,small,14,4.5,homemade food,indoor,urban
18,control,inside,West Highland White Terrier,necropsy,M,intact male,small,11,nd,canned food,indoor,urban
19,case,outside,mixed breed,biopsy,M,intact male,large,7,50,homemade food,outdoor,urban
20,control,inside,Flat Coated,biopsy,M,nd,medium,3,37,dry food,indoor,urban
21,case,outside,Boxer,biopsy,M,intact male,medium,7,30,nd,indoor,urban
22,control,inside,mixed breed,biopsy,M,neutered,small,7,30,homemade food,outdoor,urban
23,case,outside,mixed breed of/ Siberian Husky,necropsy,F,spayed,medium,9,25,homemade food,indoor and outdoor,urban
24,control,outside,mixed breed,biopsy,F,intact female,small,8,11,homemade and dry food,indoor,urban
25,control,outside,Bassotto,biopsy,M,intact male,small,7,6,canned food,indoor,urban
26,case,outside,Cane Da Pastore Tedesco,biopsy,M,intact male,medium,10,45,dry food,outdoor,urban
27,control,inside,Beagle,biopsy,M,nd,small,8,15,canned food,indoor and outdoor,urban
28,control,inside,Cane Da Pastore Tedesco,necropsy,M,intact male,medium,8,50,homemade food,outdoor,urban
29,control,inside,Boxer,biopsy,F,nd,medium,7,25,dry food,indoor,urban
30,case,outside,Cane Da Pastore Tedesco,biopsy,F,nd,medium,15,40,homemade food,indoor and outdoor,rural
31,case,outside,mixed breed of/ Pastore Tedesco,biopsy,M,intact male,medium,11,25,dry food,indoor and outdoor,urban
32,control,inside,Coker Spainel,biopsy,F,intact female,small,12,15,dry food,indoor and outdoor,urban
33,control,outside,Shih Tzu,biopsy,M,intact male,small,11,6,dry food,indoor,urban
34,case,outside,Cane Da Pastore Tedesco,biopsy,F,intact female,medium,8,35,canned food,outdoor,urban
35,control,inside,Cane Da Pastore Tedesco,biopsy,M,intact male,medium,13,35,dry food,indoor,urban
36,control,outside,Terranova,necropsy,F,nd,large,9,50,homemade food,outdoor,urban
37,control,outside,mixed breed,biopsy,M,intact male,small,9,20,dry food,outdoor,urban
38,control,outside,mixed breed,biopsy,F,spayed,small,9,30,homemade food,indoor,urban
39,case,inside,Dogue De Bordeaux ,necropsy,M,nd,large,4,nd,nd,outdoor,urban
40,control,outside,mixed breed of/ Spinone,biopsy,M,intact male,large,2,30,canned food,indoor,urban
41,control,inside,Rottweiler,biopsy,F,spayed,large,10,37,dry food,indoor,urban
42,case,outside,mixed breed,biopsy,M,neutered,large,9,33,dry food,indoor and outdoor,urban
43,control,inside,Cane Da Pastore Tedesco,biopsy,F,intact female,medium,1,25,homemade and dry food,outdoor,urban
44,case,outside,Bull Dog Inglese,necropsy,F,spayed,medium,9,nd,nd,outdoor,urban
45,case,outside,mixed breed of/ Maremmano,necropsy,M,intact male,large,7,35,nd,outdoor,urban
46,control,inside,mixed breed,biopsy,F,spayed,medium,12,"18,450",dry food,indoor and outdoor,urban
47,control,inside,Pinscher,biopsy,F,intact female,small,6,4,homemade and canned food,indoor,urban
48,control,outside,mixed breed of/ Pastore Tedesco/Collie,necropsy,M,intact male,medium,8,nd,nd,outdoor,urban
49,control,inside,Dobermann,biopsy,M,intact male,medium,10,35,homemade food,indoor and outdoor,urban
50,control,outside,Setter,necropsy,F,nd,medium,16,nd,nd,indoor and outdoor,urban
51,control,outside,Barbone Miniatura ,biopsy,F,intact female,small,9,6,"homemade, canned and dry food",indoor,urban
